TRAJ	SHORT_TRAJ	AMP_TMP2M_mean	AMP_RH_mean	AMP_WS_mean	AMP_PREC_sum	O3_max	SEASON
d	d	c	c	c	c	d	d
						class
5	3	5.69591836734694	95.7142857142857	0.175510204081633	1.7	MODERATE	AUTOMN
9	3	1.95918367346939	89.0612244897959	0.581632653061224	0.2	LOW	AUTOMN
1	2	-0.55	76.9375	0.333333333333333	0	LOW	AUTOMN
1	3	-2.39183673469388	86.9795918367347	0.153061224489796	0	LOW	AUTOMN
1	1	-0.614285714285714	84.734693877551	0.202040816326531	0	MODERATE	AUTOMN
5	1	3.83061224489796	78	0.610204081632653	0.1	LOW	AUTOMN
7	1	3.68125	78.1875	0.585416666666667	0	MODERATE	AUTOMN
2	5	7.99591836734694	80.2857142857143	1.09795918367347	0	MODERATE	AUTOMN
5	1	8.77755102040816	87.0612244897959	0.33469387755102	0.9	MODERATE	AUTOMN
2	4	11.8469387755102	82.8367346938775	2.01836734693878	3.7	MODERATE	AUTOMN
3	4	15.4326530612245	67.1836734693878	4.06326530612245	0.1	MODERATE	AUTOMN
3	4	17.0265306122449	60.0612244897959	2.88775510204082	0	MODERATE	AUTOMN
3	4	15.9755102040816	66.3265306122449	2.80204081632653	17.2	MODERATE	AUTOMN
3	4	11.8265306122449	86.0816326530612	1.0469387755102	11.6	MODERATE	AUTOMN
3	4	10.6061224489796	97.0612244897959	0.328571428571429	25.8	MODERATE	AUTOMN
3	4	7.29591836734694	90.1428571428571	0.840816326530612	2	MODERATE	AUTOMN
3	5	9.95102040816326	88.2448979591837	0.779591836734694	3.5	MODERATE	AUTOMN
3	4	11.3591836734694	82.6326530612245	0.959183673469388	3.8	MODERATE	AUTOMN
3	5	6.82040816326531	94.5714285714286	0.348979591836735	28.8	MODERATE	AUTOMN
3	5	9.04583333333333	80.6666666666667	1.1265306122449	0	MODERATE	AUTOMN
2	4	9.05918367346939	81.3469387755102	0.575510204081633	0	MODERATE	AUTOMN
4	4	9.10204081632653	86.2448979591837	0.524489795918367	0	MODERATE	AUTOMN
8	1	7.98571428571429	90.7142857142857	0.124489795918367	0	MODERATE	AUTOMN
3	1	5.88979591836735	88.734693877551	0.116326530612245	0	LOW	AUTOMN
3	1	7.54285714285714	87.8979591836735	0.302040816326531	0.4	MODERATE	AUTOMN
2	1	8.63877551020408	90.1224489795918	0.340816326530612	13.7	MODERATE	AUTOMN
2	3	4.83265306122449	96.469387755102	0.161224489795918	0.6	LOW	AUTOMN
5	3	4.37755102040816	93.1020408163265	0.330612244897959	0.1	LOW	WINTER
5	3	1.81428571428571	94.9591836734694	0.197959183673469	19.4	LOW	WINTER
5	3	1.41428571428571	96.0408163265306	0.110204081632653	10.6	LOW	WINTER
5	3	4.27142857142857	97	0.263265306122449	11.6	LOW	WINTER
1	3	4.62448979591837	96.0816326530612	0.246938775510204	38.4	LOW	WINTER
1	3	2.6469387755102	95.2244897959184	0.197959183673469	14.4	LOW	WINTER
1	3	0.155102040816327	94.4081632653061	0.104081632653061	9.9	LOW	WINTER
